"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C1orf190",-1.81996998503924,4.12936269878245,-17.8111638184997,4.01935065785297e-63,7.41137871978182e-62,132.693664744756
"SH3TC2",-2.17157543495065,4.80577401961529,-17.7981588656557,4.82930257133714e-63,8.8888672485546e-62,132.510825202727
"GRM8",2.14288079082723,3.01892911300935,17.7926040557701,5.22310413139763e-63,9.60507282188616e-62,132.432752504351
"ROBO3",-2.17786442583923,5.71682590613655,-17.7914745296283,5.30701806933147e-63,9.75063427518605e-62,132.416878776406
"SALL4",2.34677135294194,4.45774226653022,17.7845111025771,5.85487684773373e-63,1.07475812816015e-61,132.319031593722
"MT1M",-2.80560640422365,4.53419369433394,-17.7674782281316,7.44463230974435e-63,1.36536022826699e-61,132.079786510961
"C8orf51",1.624982990242,6.31565427589439,17.7623353983253,8.00445025301456e-63,1.46671885405417e-61,132.007576114624
"WHAMML1",-1.61445000434147,5.6362925916965,-17.7478238132918,9.82096088179048e-63,1.79635896986035e-61,131.803884740545
"MMP1",4.94681727047054,6.35434831687309,17.7287138462985,1.28545932443527e-62,2.34914538094389e-61,131.535796219203
"CCDC19",2.61905787736879,5.89002399618875,17.7257377586587,1.34047240635632e-62,2.44749712269301e-61,131.49406064168
"ABCB1",-2.66936147681386,6.04443738644225,-17.7240288169283,1.37311748766357e-62,2.50486953270489e-61,131.470096906549
"ODZ1",-2.79734675979156,3.53551217198492,-17.7229919736785,1.39330916349851e-62,2.53944230635503e-61,131.455558368128
"PLA2G4A",-2.58833519906284,6.09414160716311,-17.7219384527937,1.41412905283962e-62,2.57509758013089e-61,131.440786485084
"C19orf12",-1.10354283103305,8.96203600285088,-17.7147691408746,1.56429462572207e-62,2.84601595937321e-61,131.340275987
"ABCC9",-2.20217681999585,7.58772898071342,-17.7124051325051,1.61721829458284e-62,2.93969245632866e-61,131.307138863887
"RETSAT",-1.2987874298123,11.0970895870483,-17.7112694956108,1.64327358290856e-62,2.98440626059084e-61,131.291221166137
"PECAM1",-1.47517984818922,10.0554911806472,-17.7110174682619,1.64911247769894e-62,2.99235768096904e-61,131.287688695952
"HIST1H2BD",2.3805334628726,8.93263106759648,17.7107280414327,1.65584337077263e-62,3.00191214988036e-61,131.28363206269
"HIST2H2AA3",2.50190195908472,9.30834251976677,17.7076202676636,1.72986776292758e-62,3.13333961019757e-61,131.240075655379
"LOXL4",-2.8505451906654,6.38200973457418,-17.7007258373063,1.90608572560007e-62,3.44947634051617e-61,131.143464016772
"ECE2",1.70070172656494,7.54890306769234,17.6825090845225,2.46270927982065e-62,4.44894729333385e-61,130.888298442434
"C13orf33",-2.44861954347321,6.98029867688799,-17.6816500002232,2.49263637236156e-62,4.49904394045805e-61,130.876268873896
"DAB2IP",-1.22080371132489,10.1185084741416,-17.6776046358839,2.63851117910636e-62,4.7581461280962e-61,130.819627119538
"RCAN1",-2.12821783414647,9.98722212565051,-17.677061960017,2.65871714659591e-62,4.79036758708565e-61,130.81202934131
"PARVA",-1.00429089888694,10.850882678175,-17.6651953758921,3.14127844744458e-62,5.65485327542616e-61,130.645924362473
"ROBLD3",1.2656199718107,9.98968279074568,17.6577718673304,3.48662799872573e-62,6.2710325884017e-61,130.542045448254
"C9orf7",1.42072307029814,9.67927907328379,17.6561377562019,3.56759610771833e-62,6.41103279497525e-61,130.519182376704
"HYMAI",-1.56396268177457,1.07390693989427,-17.6462938872052,4.09660364377223e-62,7.34886464510782e-61,130.381481681997
"LIG1",1.16030639538897,9.54383489442632,17.6462930285534,4.0966530434019e-62,7.34886464510782e-61,130.381469672732
"BMP5",-3.49330369639337,2.2363262287827,-17.6408250766716,4.42359810397768e-62,7.92841913894023e-61,130.30500081558
"KRT8",2.17924033941752,14.10827765998,17.6361079423934,4.7264866653961e-62,8.46388162826088e-61,130.239043241284
"SLC10A6",-2.33648797887171,2.91543398624301,-17.6328247003367,4.9494324570462e-62,8.8553775821003e-61,130.193141243324
"C20orf151",2.12842420076146,6.87945676719372,17.6279542118731,5.29962763240255e-62,9.46540293612891e-61,130.12505767333
"SRL",-2.0571939244992,3.8410537219167,-17.6227138480935,5.70406815679703e-62,1.01788798136014e-60,130.051816013544
"CRYBG3",-2.24504577779451,7.73644344875922,-17.6221427260294,5.74996616280727e-62,1.02518543787006e-60,130.043834529158
"PLA2R1",-1.76309361098979,7.98750712317314,-17.6095739386439,6.85877420931931e-62,1.22181607349666e-60,129.868222987826
"EFCAB1",-3.11475839252669,3.09099227378992,-17.6074568627857,7.06549598924977e-62,1.25754779179644e-60,129.838650369052
"HOXA3",-2.48440648349812,5.24894794774569,-17.601049365512,7.72980196974486e-62,1.37458961069612e-60,129.749159229842
"RIBC2",1.96254308873454,5.21397960524744,17.5990379020864,7.95092667620704e-62,1.41268589669365e-60,129.72106981279
"DLG3",1.06867416834128,10.5821395564533,17.5988561341547,7.97121707116712e-62,1.41506371681048e-60,129.718531577082
"EGR2",-2.42524551479491,8.29706864761311,-17.583993284419,9.81771435025131e-62,1.73984166245025e-60,129.511036583924
"PLEKHH2",-2.42077149727555,6.89861973422165,-17.5699664637768,1.1949933931034e-61,2.11404444310157e-60,129.315307695843
"GFRA2",-2.63997730869958,3.75143025090922,-17.564946330089,1.28204730612343e-61,2.26609327983128e-60,129.245279582992
"GABRE",-3.56342051089156,5.59604296576794,-17.5562197974603,1.44869612053304e-61,2.55844730389999e-60,129.123577290786
"CCDC78",3.14049544684405,5.68798266506685,17.5559369666215,1.45444454583861e-61,2.56638681878121e-60,129.119633461024
"TMBIM1",-1.06567770331844,11.4217415852609,-17.5492633802421,1.59688626395929e-61,2.81530223782014e-60,129.026586976278
"C2CD2",-1.49443726467292,9.48501009301864,-17.5456306345989,1.68018870803149e-61,2.95961701399254e-60,128.975946182487
"MRPS34",1.30100785153326,10.1891965464882,17.5442963041105,1.71186302813296e-61,3.01282010260582e-60,128.957347050396
"KIAA1211",2.59634946702961,6.8333271942355,17.5348217408331,1.95457060976543e-61,3.43702433576435e-60,128.825305822466
"SEMA3D",-3.08911376221051,5.7954631810005,-17.53309905369,2.00225399374763e-61,3.51785380067873e-60,128.801302300417
"SEMA6D",-2.59288027191193,6.84653531197693,-17.5256076134897,2.22348119700367e-61,3.90319072851904e-60,128.696934502908
"TEK",-1.99894373086319,7.81630620212299,-17.5174216542928,2.49318383851806e-61,4.36915005268442e-60,128.582921051934
"LRWD1",1.15218013226771,8.30514604634215,17.5169096225527,2.51109931796928e-61,4.39678466905287e-60,128.575790556158
"ORC1L",2.23436953897024,6.38252158604565,17.50586549114,2.93036924891627e-61,5.12651959293754e-60,128.422021215307
"ACAD11",-1.12724755159789,8.26354230836336,-17.4992139590108,3.21586342811426e-61,5.62117561334033e-60,128.329438450176
"GALE",1.52505694074902,9.1969842172367,17.491671311315,3.57331335638055e-61,6.24065621643751e-60,128.224477413494
"DUSP6",-1.80751107236722,10.2329130378552,-17.4886490776193,3.72742284980517e-61,6.5042576236038e-60,128.182428503202
"GBE1",-1.2470789712895,9.10447957164124,-17.4871246371542,3.8076549053989e-61,6.6386058205959e-60,128.161220305431
"PPP1CA",1.0262162008256,11.66974440604,17.4754456589944,4.48228336701604e-61,7.80153415944695e-60,127.99877727848
