"Tumor_Sample_Barcode" "Type"
"TCGA-D8-A1Y3-01" "TCGA-D8-A1Y3" "Tumor"
"TCGA-D8-A27E-01" "TCGA-D8-A27E" "Tumor"
"TCGA-D8-A27F-01" "TCGA-D8-A27F" "Tumor"
"TCGA-D8-A27G-01" "TCGA-D8-A27G" "Tumor"
"TCGA-D8-A27H-01" "TCGA-D8-A27H" "Tumor"
"TCGA-D8-A27I-01" "TCGA-D8-A27I" "Tumor"
"TCGA-D8-A27K-01" "TCGA-D8-A27K" "Tumor"
"TCGA-D8-A27L-01" "TCGA-D8-A27L" "Tumor"
"TCGA-D8-A27M-01" "TCGA-D8-A27M" "Tumor"
"TCGA-D8-A27N-01" "TCGA-D8-A27N" "Tumor"
"TCGA-D8-A27P-01" "TCGA-D8-A27P" "Tumor"
"TCGA-D8-A27R-01" "TCGA-D8-A27R" "Tumor"
"TCGA-D8-A27T-01" "TCGA-D8-A27T" "Tumor"
"TCGA-D8-A27V-01" "TCGA-D8-A27V" "Tumor"
"TCGA-D8-A27W-01" "TCGA-D8-A27W" "Tumor"
"TCGA-D8-A3Z5-01" "TCGA-D8-A3Z5" "Tumor"
"TCGA-D8-A3Z6-01" "TCGA-D8-A3Z6" "Tumor"
"TCGA-D8-A4Z1-01" "TCGA-D8-A4Z1" "Tumor"
"TCGA-D8-A73U-01" "TCGA-D8-A73U" "Tumor"
"TCGA-D8-A73W-01" "TCGA-D8-A73W" "Tumor"
"TCGA-D8-A73X-01" "TCGA-D8-A73X" "Tumor"
"TCGA-E2-A105-01" "TCGA-E2-A105" "Tumor"
"TCGA-E2-A107-01" "TCGA-E2-A107" "Tumor"
"TCGA-E2-A108-01" "TCGA-E2-A108" "Tumor"
"TCGA-E2-A109-01" "TCGA-E2-A109" "Tumor"
"TCGA-E2-A10A-01" "TCGA-E2-A10A" "Tumor"
"TCGA-E2-A10B-01" "TCGA-E2-A10B" "Tumor"
"TCGA-E2-A10C-01" "TCGA-E2-A10C" "Tumor"
"TCGA-E2-A10E-01" "TCGA-E2-A10E" "Tumor"
"TCGA-E2-A10F-01" "TCGA-E2-A10F" "Tumor"
"TCGA-E2-A14N-01" "TCGA-E2-A14N" "Tumor"
"TCGA-E2-A14O-01" "TCGA-E2-A14O" "Tumor"
"TCGA-E2-A14P-01" "TCGA-E2-A14P" "Tumor"
"TCGA-E2-A14Q-01" "TCGA-E2-A14Q" "Tumor"
"TCGA-E2-A14R-01" "TCGA-E2-A14R" "Tumor"
"TCGA-E2-A14S-01" "TCGA-E2-A14S" "Tumor"
"TCGA-E2-A14T-01" "TCGA-E2-A14T" "Tumor"
"TCGA-E2-A14U-01" "TCGA-E2-A14U" "Tumor"
"TCGA-E2-A14V-01" "TCGA-E2-A14V" "Tumor"
"TCGA-E2-A14W-01" "TCGA-E2-A14W" "Tumor"
"TCGA-E2-A14X-01" "TCGA-E2-A14X" "Tumor"
"TCGA-E2-A14Y-01" "TCGA-E2-A14Y" "Tumor"
"TCGA-E2-A14Z-01" "TCGA-E2-A14Z" "Tumor"
"TCGA-E2-A150-01" "TCGA-E2-A150" "Tumor"
"TCGA-E2-A152-01" "TCGA-E2-A152" "Tumor"
"TCGA-E2-A153-01" "TCGA-E2-A153" "Tumor"
"TCGA-E2-A154-01" "TCGA-E2-A154" "Tumor"
"TCGA-E2-A155-01" "TCGA-E2-A155" "Tumor"
"TCGA-E2-A156-01" "TCGA-E2-A156" "Tumor"
"TCGA-E2-A158-01" "TCGA-E2-A158" "Tumor"
"TCGA-E2-A159-01" "TCGA-E2-A159" "Tumor"
"TCGA-E2-A15A-01" "TCGA-E2-A15A" "Tumor"
"TCGA-E2-A15C-01" "TCGA-E2-A15C" "Tumor"
"TCGA-E2-A15D-01" "TCGA-E2-A15D" "Tumor"
"TCGA-E2-A15E-01" "TCGA-E2-A15E" "Tumor"
"TCGA-E2-A15F-01" "TCGA-E2-A15F" "Tumor"
"TCGA-E2-A15G-01" "TCGA-E2-A15G" "Tumor"
"TCGA-E2-A15H-01" "TCGA-E2-A15H" "Tumor"
"TCGA-E2-A15I-01" "TCGA-E2-A15I" "Tumor"
"TCGA-E2-A15J-01" "TCGA-E2-A15J" "Tumor"
"TCGA-E2-A15K-01" "TCGA-E2-A15K" "Tumor"
"TCGA-E2-A15L-01" "TCGA-E2-A15L" "Tumor"
"TCGA-E2-A15M-01" "TCGA-E2-A15M" "Tumor"
"TCGA-E2-A15O-01" "TCGA-E2-A15O" "Tumor"
"TCGA-E2-A15P-01" "TCGA-E2-A15P" "Tumor"
"TCGA-E2-A15R-01" "TCGA-E2-A15R" "Tumor"
"TCGA-E2-A15S-01" "TCGA-E2-A15S" "Tumor"
"TCGA-E2-A15T-01" "TCGA-E2-A15T" "Tumor"
"TCGA-E2-A1AZ-01" "TCGA-E2-A1AZ" "Tumor"
"TCGA-E2-A1B0-01" "TCGA-E2-A1B0" "Tumor"
"TCGA-E2-A1B1-01" "TCGA-E2-A1B1" "Tumor"
"TCGA-E2-A1B4-01" "TCGA-E2-A1B4" "Tumor"
"TCGA-E2-A1B5-01" "TCGA-E2-A1B5" "Tumor"
"TCGA-E2-A1B6-01" "TCGA-E2-A1B6" "Tumor"
"TCGA-E2-A1BC-01" "TCGA-E2-A1BC" "Tumor"
"TCGA-E2-A1BD-01" "TCGA-E2-A1BD" "Tumor"
"TCGA-E2-A1IE-01" "TCGA-E2-A1IE" "Tumor"
"TCGA-E2-A1IF-01" "TCGA-E2-A1IF" "Tumor"
"TCGA-E2-A1IG-01" "TCGA-E2-A1IG" "Tumor"
"TCGA-E2-A1IH-01" "TCGA-E2-A1IH" "Tumor"
"TCGA-E2-A1II-01" "TCGA-E2-A1II" "Tumor"
"TCGA-E2-A1IJ-01" "TCGA-E2-A1IJ" "Tumor"
"TCGA-E2-A1IK-01" "TCGA-E2-A1IK" "Tumor"
"TCGA-E2-A1IL-01" "TCGA-E2-A1IL" "Tumor"
"TCGA-E2-A1IN-01" "TCGA-E2-A1IN" "Tumor"
"TCGA-E2-A1IO-01" "TCGA-E2-A1IO" "Tumor"
"TCGA-E2-A1IU-01" "TCGA-E2-A1IU" "Tumor"
"TCGA-E2-A1L6-01" "TCGA-E2-A1L6" "Tumor"
"TCGA-E2-A1L7-01" "TCGA-E2-A1L7" "Tumor"
"TCGA-E2-A1L8-01" "TCGA-E2-A1L8" "Tumor"
"TCGA-E2-A1L9-01" "TCGA-E2-A1L9" "Tumor"
"TCGA-E2-A1LA-01" "TCGA-E2-A1LA" "Tumor"
"TCGA-E2-A1LB-01" "TCGA-E2-A1LB" "Tumor"
"TCGA-E2-A1LE-01" "TCGA-E2-A1LE" "Tumor"
"TCGA-E2-A1LG-01" "TCGA-E2-A1LG" "Tumor"
"TCGA-E2-A1LH-01" "TCGA-E2-A1LH" "Tumor"
"TCGA-E2-A1LI-01" "TCGA-E2-A1LI" "Tumor"
"TCGA-E2-A1LK-01" "TCGA-E2-A1LK" "Tumor"
"TCGA-E2-A1LL-01" "TCGA-E2-A1LL" "Tumor"
"TCGA-E2-A1LS-01" "TCGA-E2-A1LS" "Tumor"
"TCGA-E2-A2P5-01" "TCGA-E2-A2P5" "Tumor"
"TCGA-E2-A2P6-01" "TCGA-E2-A2P6" "Tumor"
"TCGA-E2-A3DX-01" "TCGA-E2-A3DX" "Tumor"
"TCGA-E2-A56Z-01" "TCGA-E2-A56Z" "Tumor"
"TCGA-E2-A570-01" "TCGA-E2-A570" "Tumor"
"TCGA-E2-A573-01" "TCGA-E2-A573" "Tumor"
"TCGA-E2-A574-01" "TCGA-E2-A574" "Tumor"
"TCGA-E2-A576-01" "TCGA-E2-A576" "Tumor"
"TCGA-E2-A9RU-01" "TCGA-E2-A9RU" "Tumor"
"TCGA-E9-A1N3-01" "TCGA-E9-A1N3" "Tumor"
"TCGA-E9-A1N4-01" "TCGA-E9-A1N4" "Tumor"
"TCGA-E9-A1N5-01" "TCGA-E9-A1N5" "Tumor"
"TCGA-E9-A1N6-01" "TCGA-E9-A1N6" "Tumor"
"TCGA-E9-A1N8-01" "TCGA-E9-A1N8" "Tumor"
"TCGA-E9-A1N9-01" "TCGA-E9-A1N9" "Tumor"
"TCGA-E9-A1NA-01" "TCGA-E9-A1NA" "Tumor"
"TCGA-E9-A1NC-01" "TCGA-E9-A1NC" "Tumor"
"TCGA-E9-A1ND-01" "TCGA-E9-A1ND" "Tumor"
"TCGA-E9-A1NE-01" "TCGA-E9-A1NE" "Tumor"
"TCGA-E9-A1NF-01" "TCGA-E9-A1NF" "Tumor"
"TCGA-E9-A1NG-01" "TCGA-E9-A1NG" "Tumor"
"TCGA-E9-A1NH-01" "TCGA-E9-A1NH" "Tumor"
"TCGA-E9-A1NI-01" "TCGA-E9-A1NI" "Tumor"
"TCGA-E9-A1QZ-01" "TCGA-E9-A1QZ" "Tumor"
"TCGA-E9-A1R0-01" "TCGA-E9-A1R0" "Tumor"
"TCGA-E9-A1R2-01" "TCGA-E9-A1R2" "Tumor"
"TCGA-E9-A1R3-01" "TCGA-E9-A1R3" "Tumor"
"TCGA-E9-A1R4-01" "TCGA-E9-A1R4" "Tumor"
"TCGA-E9-A1R5-01" "TCGA-E9-A1R5" "Tumor"
"TCGA-E9-A1R6-01" "TCGA-E9-A1R6" "Tumor"
"TCGA-E9-A1R7-01" "TCGA-E9-A1R7" "Tumor"
"TCGA-E9-A1RA-01" "TCGA-E9-A1RA" "Tumor"
"TCGA-E9-A1RB-01" "TCGA-E9-A1RB" "Tumor"
"TCGA-E9-A1RC-01" "TCGA-E9-A1RC" "Tumor"
"TCGA-E9-A1RD-01" "TCGA-E9-A1RD" "Tumor"
"TCGA-E9-A1RE-01" "TCGA-E9-A1RE" "Tumor"
"TCGA-E9-A1RF-01" "TCGA-E9-A1RF" "Tumor"
"TCGA-E9-A1RG-01" "TCGA-E9-A1RG" "Tumor"
"TCGA-E9-A1RH-01" "TCGA-E9-A1RH" "Tumor"
"TCGA-E9-A1RI-01" "TCGA-E9-A1RI" "Tumor"
"TCGA-E9-A226-01" "TCGA-E9-A226" "Tumor"
"TCGA-E9-A227-01" "TCGA-E9-A227" "Tumor"
"TCGA-E9-A228-01" "TCGA-E9-A228" "Tumor"
"TCGA-E9-A229-01" "TCGA-E9-A229" "Tumor"
"TCGA-E9-A22A-01" "TCGA-E9-A22A" "Tumor"
"TCGA-E9-A22B-01" "TCGA-E9-A22B" "Tumor"
"TCGA-E9-A22D-01" "TCGA-E9-A22D" "Tumor"
"TCGA-E9-A22E-01" "TCGA-E9-A22E" "Tumor"
"TCGA-E9-A22G-01" "TCGA-E9-A22G" "Tumor"
"TCGA-E9-A22H-01" "TCGA-E9-A22H" "Tumor"
"TCGA-E9-A243-01" "TCGA-E9-A243" "Tumor"
"TCGA-E9-A244-01" "TCGA-E9-A244" "Tumor"
"TCGA-E9-A245-01" "TCGA-E9-A245" "Tumor"
"TCGA-E9-A247-01" "TCGA-E9-A247" "Tumor"
"TCGA-E9-A248-01" "TCGA-E9-A248" "Tumor"
"TCGA-E9-A249-01" "TCGA-E9-A249" "Tumor"
"TCGA-E9-A24A-01" "TCGA-E9-A24A" "Tumor"
"TCGA-E9-A295-01" "TCGA-E9-A295" "Tumor"
"TCGA-E9-A2JS-01" "TCGA-E9-A2JS" "Tumor"
"TCGA-E9-A2JT-01" "TCGA-E9-A2JT" "Tumor"
"TCGA-E9-A3HO-01" "TCGA-E9-A3HO" "Tumor"
"TCGA-E9-A3Q9-01" "TCGA-E9-A3Q9" "Tumor"
"TCGA-E9-A3QA-01" "TCGA-E9-A3QA" "Tumor"
"TCGA-E9-A3X8-01" "TCGA-E9-A3X8" "Tumor"
"TCGA-E9-A54X-01" "TCGA-E9-A54X" "Tumor"
"TCGA-E9-A54Y-01" "TCGA-E9-A54Y" "Tumor"
"TCGA-E9-A5FK-01" "TCGA-E9-A5FK" "Tumor"
"TCGA-E9-A5FL-01" "TCGA-E9-A5FL" "Tumor"
"TCGA-E9-A5UO-01" "TCGA-E9-A5UO" "Tumor"
"TCGA-E9-A5UP-01" "TCGA-E9-A5UP" "Tumor"
"TCGA-E9-A6HE-01" "TCGA-E9-A6HE" "Tumor"
"TCGA-EW-A1IW-01" "TCGA-EW-A1IW" "Tumor"
"TCGA-EW-A1IX-01" "TCGA-EW-A1IX" "Tumor"
"TCGA-EW-A1IY-01" "TCGA-EW-A1IY" "Tumor"
"TCGA-EW-A1IZ-01" "TCGA-EW-A1IZ" "Tumor"
"TCGA-EW-A1J1-01" "TCGA-EW-A1J1" "Tumor"
"TCGA-EW-A1J2-01" "TCGA-EW-A1J2" "Tumor"
"TCGA-EW-A1J3-01" "TCGA-EW-A1J3" "Tumor"
"TCGA-EW-A1J5-01" "TCGA-EW-A1J5" "Tumor"
"TCGA-EW-A1J6-01" "TCGA-EW-A1J6" "Tumor"
"TCGA-EW-A1OV-01" "TCGA-EW-A1OV" "Tumor"
"TCGA-EW-A1OW-01" "TCGA-EW-A1OW" "Tumor"
"TCGA-EW-A1OX-01" "TCGA-EW-A1OX" "Tumor"
"TCGA-EW-A1OY-01" "TCGA-EW-A1OY" "Tumor"
"TCGA-EW-A1OZ-01" "TCGA-EW-A1OZ" "Tumor"
"TCGA-EW-A1P0-01" "TCGA-EW-A1P0" "Tumor"
"TCGA-EW-A1P1-01" "TCGA-EW-A1P1" "Tumor"
"TCGA-EW-A1P3-01" "TCGA-EW-A1P3" "Tumor"
"TCGA-EW-A1P4-01" "TCGA-EW-A1P4" "Tumor"
"TCGA-EW-A1P5-01" "TCGA-EW-A1P5" "Tumor"
"TCGA-EW-A1P6-01" "TCGA-EW-A1P6" "Tumor"
"TCGA-EW-A1P7-01" "TCGA-EW-A1P7" "Tumor"
"TCGA-EW-A1P8-01" "TCGA-EW-A1P8" "Tumor"
"TCGA-EW-A1PA-01" "TCGA-EW-A1PA" "Tumor"
"TCGA-EW-A1PB-01" "TCGA-EW-A1PB" "Tumor"
"TCGA-EW-A1PC-01" "TCGA-EW-A1PC" "Tumor"
"TCGA-EW-A1PD-01" "TCGA-EW-A1PD" "Tumor"
"TCGA-EW-A1PE-01" "TCGA-EW-A1PE" "Tumor"
"TCGA-EW-A1PF-01" "TCGA-EW-A1PF" "Tumor"
"TCGA-EW-A1PG-01" "TCGA-EW-A1PG" "Tumor"
"TCGA-EW-A1PH-01" "TCGA-EW-A1PH" "Tumor"
"TCGA-EW-A2FR-01" "TCGA-EW-A2FR" "Tumor"
"TCGA-EW-A2FS-01" "TCGA-EW-A2FS" "Tumor"
"TCGA-EW-A2FV-01" "TCGA-EW-A2FV" "Tumor"
"TCGA-EW-A2FW-01" "TCGA-EW-A2FW" "Tumor"
"TCGA-EW-A3E8-01" "TCGA-EW-A3E8" "Tumor"
"TCGA-EW-A3U0-01" "TCGA-EW-A3U0" "Tumor"
"TCGA-EW-A423-01" "TCGA-EW-A423" "Tumor"
"TCGA-EW-A424-01" "TCGA-EW-A424" "Tumor"
"TCGA-EW-A6S9-01" "TCGA-EW-A6S9" "Tumor"
"TCGA-EW-A6SA-01" "TCGA-EW-A6SA" "Tumor"
"TCGA-EW-A6SB-01" "TCGA-EW-A6SB" "Tumor"
"TCGA-EW-A6SC-01" "TCGA-EW-A6SC" "Tumor"
"TCGA-EW-A6SD-01" "TCGA-EW-A6SD" "Tumor"
"TCGA-GI-A2C8-01" "TCGA-GI-A2C8" "Tumor"
"TCGA-GI-A2C9-01" "TCGA-GI-A2C9" "Tumor"
"TCGA-GM-A2D9-01" "TCGA-GM-A2D9" "Tumor"
"TCGA-GM-A2DA-01" "TCGA-GM-A2DA" "Tumor"
"TCGA-GM-A2DB-01" "TCGA-GM-A2DB" "Tumor"
"TCGA-GM-A2DC-01" "TCGA-GM-A2DC" "Tumor"
"TCGA-GM-A2DD-01" "TCGA-GM-A2DD" "Tumor"
"TCGA-GM-A2DF-01" "TCGA-GM-A2DF" "Tumor"
"TCGA-GM-A2DH-01" "TCGA-GM-A2DH" "Tumor"
"TCGA-GM-A2DI-01" "TCGA-GM-A2DI" "Tumor"
"TCGA-GM-A2DK-01" "TCGA-GM-A2DK" "Tumor"
"TCGA-GM-A2DL-01" "TCGA-GM-A2DL" "Tumor"
"TCGA-GM-A2DM-01" "TCGA-GM-A2DM" "Tumor"
"TCGA-GM-A2DN-01" "TCGA-GM-A2DN" "Tumor"
"TCGA-GM-A2DO-01" "TCGA-GM-A2DO" "Tumor"
"TCGA-GM-A3NW-01" "TCGA-GM-A3NW" "Tumor"
"TCGA-GM-A3NY-01" "TCGA-GM-A3NY" "Tumor"
"TCGA-GM-A3XG-01" "TCGA-GM-A3XG" "Tumor"
"TCGA-GM-A3XL-01" "TCGA-GM-A3XL" "Tumor"
"TCGA-GM-A3XN-01" "TCGA-GM-A3XN" "Tumor"
"TCGA-GM-A4E0-01" "TCGA-GM-A4E0" "Tumor"
"TCGA-GM-A5PV-01" "TCGA-GM-A5PV" "Tumor"
"TCGA-GM-A5PX-01" "TCGA-GM-A5PX" "Tumor"
"TCGA-HN-A2NL-01" "TCGA-HN-A2NL" "Tumor"
"TCGA-HN-A2OB-01" "TCGA-HN-A2OB" "Tumor"
"TCGA-JL-A3YW-01" "TCGA-JL-A3YW" "Tumor"
"TCGA-JL-A3YX-01" "TCGA-JL-A3YX" "Tumor"
"TCGA-LD-A66U-01" "TCGA-LD-A66U" "Tumor"
"TCGA-LD-A74U-01" "TCGA-LD-A74U" "Tumor"
"TCGA-LD-A7W5-01" "TCGA-LD-A7W5" "Tumor"
"TCGA-LD-A7W6-01" "TCGA-LD-A7W6" "Tumor"
"TCGA-LD-A9QF-01" "TCGA-LD-A9QF" "Tumor"
"TCGA-LL-A440-01" "TCGA-LL-A440" "Tumor"
"TCGA-LL-A441-01" "TCGA-LL-A441" "Tumor"
"TCGA-LL-A442-01" "TCGA-LL-A442" "Tumor"
"TCGA-LL-A50Y-01" "TCGA-LL-A50Y" "Tumor"
"TCGA-LL-A5YL-01" "TCGA-LL-A5YL" "Tumor"
"TCGA-LL-A5YM-01" "TCGA-LL-A5YM" "Tumor"
"TCGA-LL-A5YN-01" "TCGA-LL-A5YN" "Tumor"
"TCGA-LL-A5YO-01" "TCGA-LL-A5YO" "Tumor"
"TCGA-LL-A5YP-01" "TCGA-LL-A5YP" "Tumor"
"TCGA-LL-A6FP-01" "TCGA-LL-A6FP" "Tumor"
"TCGA-LL-A6FQ-01" "TCGA-LL-A6FQ" "Tumor"
"TCGA-LL-A6FR-01" "TCGA-LL-A6FR" "Tumor"
"TCGA-LL-A73Y-01" "TCGA-LL-A73Y" "Tumor"
"TCGA-LL-A73Z-01" "TCGA-LL-A73Z" "Tumor"
"TCGA-LL-A740-01" "TCGA-LL-A740" "Tumor"
"TCGA-LL-A7SZ-01" "TCGA-LL-A7SZ" "Tumor"
"TCGA-LL-A7T0-01" "TCGA-LL-A7T0" "Tumor"
"TCGA-LL-A8F5-01" "TCGA-LL-A8F5" "Tumor"
"TCGA-LL-A9Q3-01" "TCGA-LL-A9Q3" "Tumor"
"TCGA-LQ-A4E4-01" "TCGA-LQ-A4E4" "Tumor"
"TCGA-MS-A51U-01" "TCGA-MS-A51U" "Tumor"
"TCGA-OK-A5Q2-01" "TCGA-OK-A5Q2" "Tumor"
"TCGA-OL-A5D6-01" "TCGA-OL-A5D6" "Tumor"
"TCGA-OL-A5D7-01" "TCGA-OL-A5D7" "Tumor"
"TCGA-OL-A5D8-01" "TCGA-OL-A5D8" "Tumor"
"TCGA-OL-A5DA-01" "TCGA-OL-A5DA" "Tumor"
"TCGA-OL-A5RU-01" "TCGA-OL-A5RU" "Tumor"
"TCGA-OL-A5RV-01" "TCGA-OL-A5RV" "Tumor"
"TCGA-OL-A5RW-01" "TCGA-OL-A5RW" "Tumor"
"TCGA-OL-A5RX-01" "TCGA-OL-A5RX" "Tumor"
"TCGA-OL-A5RY-01" "TCGA-OL-A5RY" "Tumor"
"TCGA-OL-A5RZ-01" "TCGA-OL-A5RZ" "Tumor"
"TCGA-OL-A5S0-01" "TCGA-OL-A5S0" "Tumor"
"TCGA-OL-A66H-01" "TCGA-OL-A66H" "Tumor"
"TCGA-OL-A66I-01" "TCGA-OL-A66I" "Tumor"
"TCGA-OL-A66J-01" "TCGA-OL-A66J" "Tumor"
"TCGA-OL-A66K-01" "TCGA-OL-A66K" "Tumor"
"TCGA-OL-A66L-01" "TCGA-OL-A66L" "Tumor"
"TCGA-OL-A66N-01" "TCGA-OL-A66N" "Tumor"
"TCGA-OL-A66O-01" "TCGA-OL-A66O" "Tumor"
"TCGA-OL-A66P-01" "TCGA-OL-A66P" "Tumor"
"TCGA-OL-A6VO-01" "TCGA-OL-A6VO" "Tumor"
"TCGA-OL-A6VQ-01" "TCGA-OL-A6VQ" "Tumor"
"TCGA-OL-A6VR-01" "TCGA-OL-A6VR" "Tumor"
"TCGA-OL-A97C-01" "TCGA-OL-A97C" "Tumor"
"TCGA-PE-A5DC-01" "TCGA-PE-A5DC" "Tumor"
"TCGA-PE-A5DD-01" "TCGA-PE-A5DD" "Tumor"
"TCGA-PE-A5DE-01" "TCGA-PE-A5DE" "Tumor"
"TCGA-PL-A8LV-01" "TCGA-PL-A8LV" "Tumor"
"TCGA-PL-A8LX-01" "TCGA-PL-A8LX" "Tumor"
"TCGA-PL-A8LY-01" "TCGA-PL-A8LY" "Tumor"
"TCGA-PL-A8LZ-01" "TCGA-PL-A8LZ" "Tumor"
"TCGA-S3-A6ZF-01" "TCGA-S3-A6ZF" "Tumor"
"TCGA-S3-A6ZG-01" "TCGA-S3-A6ZG" "Tumor"
"TCGA-S3-A6ZH-01" "TCGA-S3-A6ZH" "Tumor"
"TCGA-S3-AA0Z-01" "TCGA-S3-AA0Z" "Tumor"
"TCGA-S3-AA10-01" "TCGA-S3-AA10" "Tumor"
"TCGA-S3-AA11-01" "TCGA-S3-AA11" "Tumor"
"TCGA-S3-AA12-01" "TCGA-S3-AA12" "Tumor"
"TCGA-S3-AA14-01" "TCGA-S3-AA14" "Tumor"
"TCGA-S3-AA15-01" "TCGA-S3-AA15" "Tumor"
"TCGA-S3-AA17-01" "TCGA-S3-AA17" "Tumor"
"TCGA-UL-AAZ6-01" "TCGA-UL-AAZ6" "Tumor"
"TCGA-UU-A93S-01" "TCGA-UU-A93S" "Tumor"
"TCGA-V7-A7HQ-01" "TCGA-V7-A7HQ" "Tumor"
"TCGA-W8-A86G-01" "TCGA-W8-A86G" "Tumor"
"TCGA-WT-AB41-01" "TCGA-WT-AB41" "Tumor"
"TCGA-WT-AB44-01" "TCGA-WT-AB44" "Tumor"
"TCGA-XX-A899-01" "TCGA-XX-A899" "Tumor"
"TCGA-XX-A89A-01" "TCGA-XX-A89A" "Tumor"
"TCGA-Z7-A8R5-01" "TCGA-Z7-A8R5" "Tumor"
"TCGA-Z7-A8R6-01" "TCGA-Z7-A8R6" "Tumor"
