"Tumor_Sample_Barcode" "Type"
"TCGA-A8-A07J-01" "TCGA-A8-A07J" "Tumor"
"TCGA-A8-A07L-01" "TCGA-A8-A07L" "Tumor"
"TCGA-A8-A07O-01" "TCGA-A8-A07O" "Tumor"
"TCGA-A8-A07P-01" "TCGA-A8-A07P" "Tumor"
"TCGA-A8-A07R-01" "TCGA-A8-A07R" "Tumor"
"TCGA-A8-A07S-01" "TCGA-A8-A07S" "Tumor"
"TCGA-A8-A07U-01" "TCGA-A8-A07U" "Tumor"
"TCGA-A8-A07W-01" "TCGA-A8-A07W" "Tumor"
"TCGA-A8-A07Z-01" "TCGA-A8-A07Z" "Tumor"
"TCGA-A8-A081-01" "TCGA-A8-A081" "Tumor"
"TCGA-A8-A082-01" "TCGA-A8-A082" "Tumor"
"TCGA-A8-A083-01" "TCGA-A8-A083" "Tumor"
"TCGA-A8-A085-01" "TCGA-A8-A085" "Tumor"
"TCGA-A8-A086-01" "TCGA-A8-A086" "Tumor"
"TCGA-A8-A08A-01" "TCGA-A8-A08A" "Tumor"
"TCGA-A8-A08B-01" "TCGA-A8-A08B" "Tumor"
"TCGA-A8-A08C-01" "TCGA-A8-A08C" "Tumor"
"TCGA-A8-A08G-01" "TCGA-A8-A08G" "Tumor"
"TCGA-A8-A08H-01" "TCGA-A8-A08H" "Tumor"
"TCGA-A8-A08I-01" "TCGA-A8-A08I" "Tumor"
"TCGA-A8-A08J-01" "TCGA-A8-A08J" "Tumor"
"TCGA-A8-A08L-01" "TCGA-A8-A08L" "Tumor"
"TCGA-A8-A08O-01" "TCGA-A8-A08O" "Tumor"
"TCGA-A8-A08P-01" "TCGA-A8-A08P" "Tumor"
"TCGA-A8-A08R-01" "TCGA-A8-A08R" "Tumor"
"TCGA-A8-A08T-01" "TCGA-A8-A08T" "Tumor"
"TCGA-A8-A08X-01" "TCGA-A8-A08X" "Tumor"
"TCGA-A8-A08Z-01" "TCGA-A8-A08Z" "Tumor"
"TCGA-A8-A090-01" "TCGA-A8-A090" "Tumor"
"TCGA-A8-A091-01" "TCGA-A8-A091" "Tumor"
"TCGA-A8-A092-01" "TCGA-A8-A092" "Tumor"
"TCGA-A8-A093-01" "TCGA-A8-A093" "Tumor"
"TCGA-A8-A094-01" "TCGA-A8-A094" "Tumor"
"TCGA-A8-A095-01" "TCGA-A8-A095" "Tumor"
"TCGA-A8-A096-01" "TCGA-A8-A096" "Tumor"
"TCGA-A8-A097-01" "TCGA-A8-A097" "Tumor"
"TCGA-A8-A099-01" "TCGA-A8-A099" "Tumor"
"TCGA-A8-A09A-01" "TCGA-A8-A09A" "Tumor"
"TCGA-A8-A09B-01" "TCGA-A8-A09B" "Tumor"
"TCGA-A8-A09C-01" "TCGA-A8-A09C" "Tumor"
"TCGA-A8-A09D-01" "TCGA-A8-A09D" "Tumor"
"TCGA-A8-A09G-01" "TCGA-A8-A09G" "Tumor"
"TCGA-A8-A09I-01" "TCGA-A8-A09I" "Tumor"
"TCGA-A8-A09M-01" "TCGA-A8-A09M" "Tumor"
"TCGA-A8-A09N-01" "TCGA-A8-A09N" "Tumor"
"TCGA-A8-A09Q-01" "TCGA-A8-A09Q" "Tumor"
"TCGA-A8-A09R-01" "TCGA-A8-A09R" "Tumor"
"TCGA-A8-A09T-01" "TCGA-A8-A09T" "Tumor"
"TCGA-A8-A09V-01" "TCGA-A8-A09V" "Tumor"
"TCGA-A8-A09W-01" "TCGA-A8-A09W" "Tumor"
"TCGA-A8-A09X-01" "TCGA-A8-A09X" "Tumor"
"TCGA-A8-A09Z-01" "TCGA-A8-A09Z" "Tumor"
"TCGA-A8-A0A1-01" "TCGA-A8-A0A1" "Tumor"
"TCGA-A8-A0A2-01" "TCGA-A8-A0A2" "Tumor"
"TCGA-A8-A0A4-01" "TCGA-A8-A0A4" "Tumor"
"TCGA-A8-A0A6-01" "TCGA-A8-A0A6" "Tumor"
"TCGA-A8-A0A7-01" "TCGA-A8-A0A7" "Tumor"
"TCGA-A8-A0A9-01" "TCGA-A8-A0A9" "Tumor"
