"","p.value","HR","Low 95%CI","High 95%CI"
"ARHGAP26",0.00237596928552968,0.7836911776311,0.669681797200451,0.917109983374663
"ARID5A",0.000743970551524704,0.771226195938147,0.663166968257454,0.896893050726127
"ARPC1B",0.216085245092509,0.875942208823832,0.710118918493358,1.08048769469074
"ART4",0.246528149955904,0.92577661462126,0.81256259675303,1.05476469579623
"ATF3",0.0568045978554762,0.895772001630197,0.799854284786027,1.00319207406537
"ATP8A1",0.25886162464237,0.92810292473719,0.815355012840594,1.05644170372462
"ATP8B4",0.0262731642599601,0.833346403150975,0.709565890240247,0.978719858432784
"B3GALT2",0.142220326101125,0.883735256189068,0.749263712318608,1.04234062078728
"B3GAT1",0.172026985670173,0.943357417910634,0.867628512495669,1.02569614196659
"BANK1",0.00118501057587817,0.865021880146693,0.792432019269875,0.944261255144572
"BIN1",0.0323267163687046,0.862932072368395,0.753961129062584,0.987652722160696
"BMP6",0.117218696892684,0.898418120820521,0.785731327172303,1.02726605380935
"BST1",0.0909043423590267,0.847426445426124,0.699440509175922,1.02672288920419
"BTN1A1",0.186322386668785,0.906478549140626,0.783636629069623,1.04857701844242
"C10orf105",0.00381006801541725,0.813964084761086,0.708029811011841,0.935748073000096
"C1orf127",0.0808923851945517,1.11690655120855,0.986509563373321,1.26453943321835
"C2orf88",0.000869994046849825,0.801954762036905,0.70424907802261,0.913215878335905
"C3",0.00121275279737435,0.839740853654137,0.755440124446437,0.933448831318699
"C7orf31",0.0235797014895815,0.832022426921446,0.709565481472795,0.975613015254596
"CACNA1E",0.0105544533619037,0.835195303727216,0.727512634968642,0.958816605842265
"CALCR",0.937929581618195,0.995264663922374,0.883191702927997,1.12155916769666
"CANT1",0.100129276494074,1.19980513226781,0.965625155005598,1.49077760449172
"CAPN3",0.0044093463581379,0.8244742547149,0.721899303793436,0.941624120034053
"CARD6",0.0324407500396022,0.826503148200065,0.694086345445091,0.984182239670151
"CASKIN1",0.353043567127344,0.952658672709188,0.859975236348665,1.05533102388087
"CASP10",0.0302958053639449,0.835003734843877,0.709304377685767,0.982978900367239
"CATSPER1",0.1175774088846,0.882456005082759,0.75453872196795,1.03205916175591
"CCDC141",0.00359064975925353,0.807817139535052,0.699728955954536,0.932601867299306
"CCDC69",0.000143481855617654,0.784972765317578,0.692871135604501,0.889317234658263
"CCL11",0.00500070455781622,0.865072665629695,0.78180764173003,0.957205681903636
"CCL13",0.00665749098216431,0.892992993492155,0.822897331004392,0.969059512506577
"CCL21",0.0156778808455793,0.935170549825736,0.885685247149717,0.987420711901658
"CCL23",0.000266519556453834,0.768047336157866,0.666459583745383,0.8851200057235
"CCL7",0.23325441750858,0.94854005103155,0.8696202993084,1.03462192536959
"CCND2",8.89785234284237e-05,0.740900267120301,0.637707377471766,0.860791681594176
"CCR4",0.0024101069664478,0.871578027966999,0.797534120537325,0.952496249719126
"CCR8",0.359795026962011,0.953452758222536,0.860981552534248,1.05585556332347
"CD163L1",0.0720588649877665,1.1042485950462,0.991151414369578,1.23025094045503
"CD19",0.000213868656448892,0.866810376797454,0.803636071019527,0.934950852032484
"CD1A",0.0105131616984205,0.902056807630863,0.8335661473364,0.976175060363624
"CD1C",6.36496778644215e-05,0.853593162764596,0.789868610483043,0.922458846760449
"CD200R1",0.00116814690680978,0.821370204135062,0.729365915863501,0.924980174652323
